word,type,lang,count
CallOffUniversitiesExams https://t.co/iADfJxZv63,PERSON,en,1
"Gears
Bogey Wheels
Auto Loader
Rammer
Ejection System",ORG,en,1
Gun Control System,ORG,en,1
Aalim,ORG,en,1
Javed Ghamdi,PERSON,en,1
Scholors,PRODUCT,en,1
EngineerMuhammadAliMirza,PERSON,en,1
Muhammad bin Qasim,PERSON,en,1
MohammadBinQasimRealHero,MONEY,en,1
about 99.99%,PERCENT,en,1
RamzanMubarak,ORG,en,2
"Breaking 
Suicide",PERSON,en,1
0130hrs,CARDINAL,en,1
Irfan Ullah,PERSON,en,1
G3,PRODUCT,en,1
Lhr Cantt,PERSON,en,1
Thar,ORG,en,1
camels &amp,ORG,en,1
#TharNeedsWaterCanal https://t.co/JhXOqpOwb1,MONEY,en,1
Jhenne Kolhi,PERSON,en,1
Aijaz Ali Brohi &,ORG,en,1
Qurban Ali &amp,ORG,en,1
Dua Meghwar,PERSON,en,1
Muhammad Abbas,PERSON,en,1
Umerkot,PERSON,en,1
Supports Taliban,PERSON,en,1
"Pentagon Report Finds

https://t.co/eiNOg57aRl",ORG,en,1
Allah swt &amp,ORG,en,1
#JummatUlWida https://t.co/B5sRO3r7K9,MONEY,en,1
LtGenSarfarazSattar,ORG,en,1
SarfarazAhmed,ORG,en,1
WhereIsidriskhattak,PERSON,en,1
Huaneng Shandong Ruyi,PERSON,en,1
Pakistani Government Authorities,ORG,en,1
ReleaseMissingPersons https://t.co/hrkTwGWOjZ,PERSON,en,1
NFC,ORG,en,2
265 billion,MONEY,en,2
"ChinaPakExploitationCorridor
https://t.co/qZlwtqoMzQ",PRODUCT,en,2
Dr Ayesha Siddiqa’s,ORG,en,1
Surah Al-Kahf,PERSON,en,1
this friday,DATE,en,1
ChineseVirus,PERSON,en,1
#ReleaseAllMissingPersons https://t.co/m8DCAPq8dZ,MONEY,en,1
Kavita,PERSON,en,4
Lesyo,PERSON,en,1
Diplo,PERSON,en,1
3 years ago,DATE,en,1
Village Charnoor,FAC,en,1
Ghafoor Masih,PERSON,en,1
Tortured,GPE,en,1
"Hindu Men, Women &",ORG,en,1
Additional Session,ORG,en,1
Khipro,GPE,en,1
Sangar,PERSON,en,1
present day,DATE,en,2
"@GulBukhari 
Ahmadis",ORG,en,1
Hala,GPE,en,1
Matiari,PERSON,en,1
Bheel,WORK_OF_ART,en,1
Cynthia Ritchie,PERSON,en,1
multiple officials &amp,ORG,en,1
evades &amp,ORG,en,1
less than 3%,PERCENT,en,1
April 9,DATE,en,3
Qutibain,GPE,en,1
Smt Dia,PERSON,en,1
Zal kaju Kohli,PERSON,en,1
Village Haji Sultan,GPE,en,1
Jhudo,PERSON,en,1
NGOs &amp,ORG,en,1
@GulBukhari,PRODUCT,en,1
https://t.co/EpA7WRdcM5,PRODUCT,en,1
blessings &amp,ORG,en,3
Dua’s,ORG,en,3
RT @ssssssg23456789,ORG,en,1
